year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2013,6,1,19.9,17.2,23.8,0.5,0.5,
2013,6,2,20.9,15.7,26.4,,,
2013,6,3,21.0,15.9,26.8,,,
2013,6,4,21.8,16.0,28.2,,,
2013,6,5,22.3,16.2,28.6,,,
2013,6,6,22.9,16.7,29.2,,,
2013,6,7,21.9,18.3,26.3,,,
2013,6,8,21.8,18.8,24.6,,,
2013,6,9,22.4,19.8,26.1,0.4,0.4,
2013,6,10,23.1,21.2,26.2,,,
2013,6,11,22.0,20.8,24.6,6.0,6.0,
2013,6,12,21.5,20.3,23.4,3.0,3.0,
2013,6,13,23.4,20.4,27.0,0.0,0.0,
2013,6,14,22.0,21.0,23.0,3.0,3.0,
2013,6,15,24.7,21.0,29.1,,,
2013,6,16,25.6,20.9,31.0,,,
2013,6,17,24.9,20.7,30.4,,,
2013,6,18,23.8,23.1,24.7,19.0,19.0,
2013,6,19,23.9,22.8,26.8,67.0,67.0,
2013,6,20,25.0,22.3,29.5,,,
2013,6,21,24.0,21.6,29.0,,,
2013,6,22,23.4,20.0,28.1,,,
2013,6,23,21.6,19.7,23.2,4.0,4.0,
2013,6,24,23.5,19.1,27.6,,,
2013,6,25,21.6,20.4,24.0,6.0,6.0,
2013,6,26,24.2,20.0,29.1,4.5,4.5,
2013,6,27,23.1,20.8,26.1,,,
2013,6,28,24.4,20.8,29.3,,,
2013,6,29,25.0,20.1,30.1,,,
2013,6,30,25.1,21.3,28.7,,,
