year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2021,2,1,7.4,2.8,11.9,8.9,8.9,
2021,2,2,0.0,-4.4,8.0,,,
2021,2,3,-2.0,-5.6,4.5,,,
2021,2,4,1.9,-4.8,6.7,,,
2021,2,5,2.5,-6.7,10.5,,,
2021,2,6,4.1,-4.6,15.2,,,
2021,2,7,6.3,-1.0,14.2,,,
2021,2,8,0.9,-2.3,5.2,,,
2021,2,9,0.4,-3.4,7.7,,,
2021,2,10,3.2,-5.1,11.0,,,
2021,2,11,5.8,-0.7,12.7,,,
2021,2,12,6.6,-0.2,18.5,,,
2021,2,13,7.4,-1.7,20.1,,,
2021,2,14,6.7,-0.1,11.5,4.4,4.4,
2021,2,15,6.5,-1.3,11.9,3.4,3.4,
2021,2,16,0.1,-3.2,6.8,,,
2021,2,17,-4.5,-6.4,-2.0,,,
2021,2,18,-4.0,-8.6,0.5,,,
2021,2,19,4.1,-5.9,12.4,,,
2021,2,20,11.7,4.4,19.9,,,
2021,2,21,14.3,1.7,24.2,,,
2021,2,22,15.2,5.9,23.9,,,
2021,2,23,5.1,-0.3,11.3,,,
2021,2,24,4.2,-2.5,11.3,,,
2021,2,25,5.0,-1.5,11.1,3.0,3.0,
2021,2,26,8.1,5.2,11.5,0.5,0.5,
2021,2,27,6.3,3.2,8.1,,,
2021,2,28,8.6,0.1,16.3,,,
